Date,Sell Price,Mayor_Aatrox,Mayor_Cole,Mayor_Diana,Mayor_Diaz,Mayor_Jerry,Mayor_Marina,Mayor_Paul,Price_Change_Percent
2025-09-24 09:00:00,640.4,0,1,0,0,0,0,0,0.13
2025-09-24 10:00:00,641.2,0,1,0,0,0,0,0,0.12
2025-09-24 11:00:00,642.1,0,1,0,0,0,0,0,0.14
2025-09-24 12:00:00,643.2,0,1,0,0,0,0,0,0.17
2025-09-24 13:00:00,644.2,0,1,0,0,0,0,0,0.16
2025-09-24 14:00:00,644.9,0,1,0,0,0,0,0,0.11
2025-09-24 15:00:00,645.2,0,1,0,0,0,0,0,0.05
2025-09-24 16:00:00,649.2,0,1,0,0,0,0,0,0.62
2025-09-24 17:00:00,650.2,0,1,0,0,0,0,0,0.15
2025-09-24 18:00:00,648.9,0,1,0,0,0,0,0,-0.2
2025-09-24 19:00:00,649.2,0,1,0,0,0,0,0,0.05
2025-09-24 20:00:00,642.4,0,1,0,0,0,0,0,-1.05
2025-09-24 21:00:00,641.5,0,1,0,0,0,0,0,-0.14
2025-09-24 22:00:00,642.3,0,1,0,0,0,0,0,0.12
2025-09-24 23:00:00,642.4,0,1,0,0,0,0,0,0.02
2025-09-25 00:00:00,636.3,0,1,0,0,0,0,0,-0.95
2025-09-25 01:00:00,637.6,0,1,0,0,0,0,0,0.2
2025-09-25 02:00:00,638.6,0,1,0,0,0,0,0,0.16
2025-09-25 03:00:00,630.6,0,1,0,0,0,0,0,-1.25
2025-09-25 04:00:00,630.8,0,1,0,0,0,0,0,0.03
2025-09-25 05:00:00,631.1,0,1,0,0,0,0,0,0.05
2025-09-25 06:00:00,631.4,0,1,0,0,0,0,0,0.05
2025-09-25 07:00:00,631.8,0,1,0,0,0,0,0,0.06
2025-09-25 08:00:00,632.7,0,1,0,0,0,0,0,0.14
2025-09-25 09:00:00,633.0,0,1,0,0,0,0,0,0.05
2025-09-25 10:00:00,633.6,0,1,0,0,0,0,0,0.09
2025-09-25 11:00:00,633.8,0,1,0,0,0,0,0,0.03
2025-09-25 12:00:00,633.7,0,1,0,0,0,0,0,-0.02
2025-09-25 13:00:00,634.0,0,1,0,0,0,0,0,0.05
2025-09-25 14:00:00,634.9,0,1,0,0,0,0,0,0.14
2025-09-25 15:00:00,634.4,0,1,0,0,0,0,0,-0.08
2025-09-25 16:00:00,634.7,0,1,0,0,0,0,0,0.05
2025-09-25 17:00:00,639.1,0,1,0,0,0,0,0,0.69
